machine_id,cost_center_id,manufacturing_plant_id,manufacturing_plant_name,plant_shift_date,machine_status_name,Sum of mttr_workcenter_numerator_seconds_quantity,Sum of mtbf_numerator_seconds_quantity,hydra_bmk_production_status_name
S-004,1195578,1310,Tangier,3/10/2025 0:00,PRODUCTION,0,15414,Production
S-005,1195578,1310,Tangier,3/10/2025 0:00,micro arrêts,61,0,Production
S-005,1195578,1310,Tangier,3/10/2025 0:00,PRODUCTION,0,118,Production
S-006,1195578,1310,Tangier,3/10/2025 0:00,micro arrêts,411,0,Production
S-006,1195578,1310,Tangier,3/10/2025 0:00,PRODUCTION,0,33527,Production
S-004,1195578,1310,Tangier,3/11/2025 0:00,PRODUCTION,0,21799,Production
S-005,1195578,1310,Tangier,3/11/2025 0:00,micro arrêts,119,0,Production
S-005,1195578,1310,Tangier,3/11/2025 0:00,PRODUCTION,0,2785,Production
S-006,1195578,1310,Tangier,3/11/2025 0:00,PRODUCTION,0,55188,Production
S-006,1195578,1310,Tangier,3/11/2025 0:00,Réparation Peripheri,3947,0,Non-Production
S-004,1195578,1310,Tangier,3/12/2025 0:00,PRODUCTION,0,19166,Production
S-005,1195578,1310,Tangier,3/12/2025 0:00,micro arrêts,335,0,Production
S-005,1195578,1310,Tangier,3/12/2025 0:00,PRODUCTION,0,5210,Production
S-006,1195578,1310,Tangier,3/12/2025 0:00,PRODUCTION,0,44377,Production
S-006,1195578,1310,Tangier,3/12/2025 0:00,Réparation Peripheri,645,0,Non-Production
S-004,1195578,1310,Tangier,3/13/2025 0:00,PRODUCTION,0,27816,Production
S-005,1195578,1310,Tangier,3/13/2025 0:00,micro arrêts,523,0,Production
S-005,1195578,1310,Tangier,3/13/2025 0:00,PRODUCTION,0,11711,Production
S-005,1195578,1310,Tangier,3/13/2025 0:00,Réparation Peripheri,1318,0,Non-Production
S-006,1195578,1310,Tangier,3/13/2025 0:00,PRODUCTION,0,43047,Production
S-006,1195578,1310,Tangier,3/13/2025 0:00,Réparation Peripheri,788,0,Non-Production
S-004,1195578,1310,Tangier,3/14/2025 0:00,PRODUCTION,0,22877,Production
S-004,1195578,1310,Tangier,3/14/2025 0:00,Réparation Peripheri,1120,0,Non-Production
S-005,1195578,1310,Tangier,3/14/2025 0:00,micro arrêts,572,0,Production
S-005,1195578,1310,Tangier,3/14/2025 0:00,PRODUCTION,0,4594,Production
S-006,1195578,1310,Tangier,3/14/2025 0:00,PRODUCTION,0,52408,Production
S-006,1195578,1310,Tangier,3/14/2025 0:00,Réparation Peripheri,773,0,Non-Production
S-004,1195578,1310,Tangier,3/15/2025 0:00,PRODUCTION,0,25513,Production
